epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.084,1.16839,2.79094,1.39086,0.57649,0.56376,0.57685,0.42545,1.00475,1.64893,1.25909,0.00332717,0.00332717,0.00332717
2,326.001,1.07446,1.6674,1.29155,0.72737,0.58984,0.70878,0.54624,0.9235,1.40738,1.22518,0.00657808,0.00657808,0.00657808
3,483.727,1.09017,1.51132,1.2858,0.74497,0.65164,0.74143,0.5874,0.8743,1.50039,1.18849,0.00974649,0.00974649,0.00974649
4,640.123,1.09895,1.42767,1.29665,0.77829,0.70705,0.79611,0.6256,0.89813,1.18323,1.20691,0.00962875,0.00962875,0.00962875
5,795.671,1.06497,1.29587,1.27624,0.84303,0.70631,0.83625,0.67178,0.84614,1.00767,1.16756,0.009505,0.009505,0.009505
6,952.315,1.02418,1.18958,1.25198,0.82142,0.72138,0.81954,0.66634,0.797,0.96786,1.13833,0.00938125,0.00938125,0.00938125
7,1108.32,1.0084,1.13357,1.24036,0.81808,0.74668,0.85159,0.68822,0.80303,0.93484,1.13486,0.0092575,0.0092575,0.0092575
8,1265.21,0.97649,1.07048,1.22442,0.83926,0.76041,0.86848,0.71235,0.7715,0.84996,1.12368,0.00913375,0.00913375,0.00913375
9,1421.48,0.94928,1.0082,1.207,0.84118,0.7722,0.86832,0.70988,0.8185,0.82363,1.12729,0.00901,0.00901,0.00901
10,1578.33,0.9426,0.97829,1.20055,0.87321,0.76878,0.88422,0.73041,0.79271,0.79244,1.10962,0.00888625,0.00888625,0.00888625
11,1734.13,0.9326,0.94431,1.19896,0.87157,0.74468,0.86764,0.73143,0.74354,0.82415,1.09789,0.0087625,0.0087625,0.0087625
12,1890.8,0.91246,0.92389,1.18487,0.88775,0.78885,0.89651,0.75118,0.73856,0.72297,1.07284,0.00863875,0.00863875,0.00863875
13,2049.94,0.90731,0.90425,1.18356,0.8686,0.8052,0.90608,0.77014,0.69981,0.70323,1.05998,0.008515,0.008515,0.008515
14,2206.24,0.89776,0.89132,1.17886,0.8496,0.81767,0.90342,0.76066,0.71945,0.70858,1.07712,0.00839125,0.00839125,0.00839125
15,2363.29,0.88705,0.86955,1.17415,0.87211,0.803,0.90642,0.7706,0.69288,0.70257,1.05984,0.0082675,0.0082675,0.0082675
16,2521.28,0.87563,0.84736,1.1669,0.85692,0.81686,0.89868,0.77244,0.68815,0.68095,1.06465,0.00814375,0.00814375,0.00814375
17,2678.61,0.86913,0.82971,1.16097,0.85654,0.81558,0.9056,0.77878,0.671,0.65728,1.04895,0.00802,0.00802,0.00802
18,2833.85,0.85887,0.81187,1.15557,0.88912,0.80896,0.91265,0.78582,0.67608,0.64539,1.05507,0.00789625,0.00789625,0.00789625
19,2989.56,0.85913,0.80743,1.15505,0.88767,0.81222,0.91412,0.78776,0.68526,0.63751,1.03827,0.0077725,0.0077725,0.0077725
20,3145.55,0.84119,0.79324,1.14793,0.8885,0.83592,0.92573,0.80161,0.64997,0.60873,1.02888,0.00764875,0.00764875,0.00764875
21,3300.43,0.8383,0.76844,1.14337,0.89128,0.8484,0.92891,0.8034,0.65638,0.57571,1.03141,0.007525,0.007525,0.007525
22,3459.88,0.83983,0.77327,1.14477,0.90077,0.83371,0.92856,0.80306,0.6525,0.59361,1.03306,0.00740125,0.00740125,0.00740125
23,3615.58,0.83171,0.76358,1.13955,0.88896,0.84785,0.92513,0.79896,0.63798,0.59499,1.01762,0.0072775,0.0072775,0.0072775
24,3770.3,0.82337,0.74856,1.13469,0.90252,0.8511,0.93524,0.81151,0.63599,0.56029,1.0138,0.00715375,0.00715375,0.00715375
25,3926.02,0.82188,0.74147,1.13437,0.8827,0.86122,0.93143,0.81296,0.63442,0.56729,1.01813,0.00703,0.00703,0.00703
26,4081.37,0.81311,0.72953,1.1308,0.8845,0.86563,0.93665,0.81517,0.63414,0.56279,1.01435,0.00690625,0.00690625,0.00690625
27,4237.17,0.81399,0.73107,1.13157,0.8947,0.84563,0.92769,0.81638,0.61001,0.56719,1.00948,0.0067825,0.0067825,0.0067825
28,4392.89,0.80436,0.71749,1.12623,0.90911,0.85859,0.93966,0.81859,0.63513,0.53881,1.0165,0.00665875,0.00665875,0.00665875
29,4548.8,0.80175,0.70828,1.12008,0.88034,0.86578,0.93584,0.82536,0.60944,0.54851,0.9991,0.006535,0.006535,0.006535
30,4704.48,0.79377,0.70434,1.11929,0.89748,0.85812,0.93647,0.82414,0.61425,0.53069,1.00952,0.00641125,0.00641125,0.00641125
31,4859.58,0.79248,0.69767,1.12206,0.89676,0.86712,0.93839,0.82481,0.61503,0.52732,1.01003,0.0062875,0.0062875,0.0062875
32,5014.47,0.78511,0.68332,1.11398,0.8857,0.86567,0.93362,0.82018,0.62355,0.54991,1.01448,0.00616375,0.00616375,0.00616375
33,5168.83,0.77999,0.68097,1.1155,0.90906,0.85336,0.93612,0.83176,0.59974,0.52224,0.99741,0.00604,0.00604,0.00604
34,5324.15,0.78521,0.67284,1.11662,0.90467,0.85207,0.93616,0.82795,0.60276,0.53582,0.99941,0.00591625,0.00591625,0.00591625
35,5479.52,0.76903,0.66028,1.10638,0.90223,0.87306,0.93857,0.8306,0.60836,0.52417,1.01044,0.0057925,0.0057925,0.0057925
36,5633.07,0.76382,0.65772,1.1031,0.90381,0.87262,0.94203,0.83344,0.59842,0.51654,0.99847,0.00566875,0.00566875,0.00566875
37,5787.44,0.77049,0.6558,1.10414,0.91445,0.87458,0.94221,0.83643,0.59558,0.50414,0.99454,0.005545,0.005545,0.005545
38,5943.67,0.76751,0.65376,1.10101,0.91183,0.8581,0.93875,0.83301,0.58978,0.50827,0.9927,0.00542125,0.00542125,0.00542125
39,6098.42,0.75711,0.64008,1.09936,0.91278,0.8731,0.94629,0.84078,0.59065,0.49436,0.99614,0.0052975,0.0052975,0.0052975
40,6254.07,0.75948,0.64472,1.0993,0.88879,0.88324,0.94286,0.84093,0.57929,0.4964,0.98938,0.00517375,0.00517375,0.00517375
41,6410.35,0.75465,0.63289,1.09752,0.89494,0.89223,0.94356,0.83748,0.5849,0.48821,0.99098,0.00505,0.00505,0.00505
42,6566.24,0.7497,0.62686,1.09568,0.90351,0.87811,0.94459,0.84142,0.58387,0.49335,0.98663,0.00492625,0.00492625,0.00492625
43,6722.53,0.74935,0.62386,1.09379,0.90766,0.87515,0.94221,0.84077,0.57997,0.48918,0.98594,0.0048025,0.0048025,0.0048025
